subject,language,word,cons,vot,cog,sd,skew,kurt,cm,mint
lisetteC,English,danielle,da,20.48,1467.07666666667,1806.88,2.53333333333333,16.87,10608059705.04,65.8108333333333
mariahFr,English,danielle,da,37.6066666666667,4588.28666666667,1991.43666666667,-0.176666666666667,0.573333333333333,-1284234508.01333,63.4751333333333
meganHor,English,danielle,da,17.2333333333333,1393.17,1154.58,3.84666666666667,42.5533333333333,3765944250.69667,66.8473666666667
vanessaV,English,danielle,da,57.0033333333333,6587.95666666667,1841.25,-0.576666666666667,5.46666666666667,2283399920.81333,59.5261333333333
ainaGomi,Spanish,danino,da,-39.8066666666667,651.673333333333,493.386666666667,5.47,68.83,637995162.683333,74.5423
albaMart,Spanish,danino,da,-75.06,732.44,808.726666666667,5.07333333333333,52.49,3425012773.41333,71.2236666666667
elenaFer,Spanish,danino,da,-30.0366666666667,635.866666666667,642.486666666667,4.68333333333333,41.7566666666667,1263711086.92667,72.0005333333333
lauraRay,Spanish,danino,da,-2.96666666666667,681.673333333333,931.953333333333,12.8266666666667,348.17,9847470260.72333,62.3940333333333
marinaGo,Spanish,danino,da,-37.25,631.786666666667,834.986666666667,9.70666666666667,212.1,5124273136.52333,70.3156666666667
martaLav,Spanish,danino,da,-57.5233333333333,605.186666666667,421.046666666667,5.92,80.8033333333333,440891598.133333,75.3803666666667
tamaraMo,Spanish,danino,da,-60.62,647.996666666667,609.856666666667,3.35,22.3966666666667,761110366.37,68.8274
ainaGomi,Spanish,dano,da,-50.0333333333333,513.253333333333,370.836666666667,7.86666666666667,163.31,384111158.786667,72.8436333333333
albaMart,Spanish,dano,da,-90.6066666666667,698.466666666667,783.103333333333,5.21,55.3233333333333,3525504460.43667,69.4193
elenaFer,Spanish,dano,da,-69.73,670.02,865.176666666667,5.13333333333333,41.88,3821447316.54333,71.7017
lauraRay,Spanish,dano,da,-42.4,532.91,729.923333333333,7.40333333333333,92.9633333333333,3741315686.92667,65.3131333333333
marinaGo,Spanish,dano,da,-51.5866666666667,540.856666666667,488.566666666667,8.61333333333333,155.89,935088569.19,72.9493
martaLav,Spanish,dano,da,-80.4566666666667,575.783333333333,399.39,7.99333333333333,151.793333333333,609071143.04,76.4403333333333
tamaraMo,Spanish,dano,da,-115.083333333333,556.87,664.126666666667,5.88666666666667,56.1533333333333,2355925766.40667,68.1047666666667
hollyHig,English,danseur,da,28.4766666666667,1666.12333333333,1753.39,1.86,7.98,8305893658.73,56.9324666666667
jessicaN,English,danseur,da,19.8366666666667,1223.74,1528.81666666667,3.05,20.2,7804618093.08,64.1611333333333
katieMar,English,danseur,da,15.2433333333333,464.863333333333,621.976666666667,5.91333333333333,62.41,1459149182.87333,65.8159333333333
lisetteC,English,danseur,da,27.86,881.58,1580.125,3.07,19.34,11506178491.11,56.9449
mariahFr,English,danseur,da,44.2825,3199.6575,1514.755,0.4575,9.665,1898895033.1025,61.006025
meganHor,English,danseur,da,35.2266666666667,1834.85666666667,1185.35666666667,2.43,23.5733333333333,4496137559.82333,62.5584333333333
vanessaV,English,danseur,da,76.0733333333333,4096.98,2196.88666666667,0.183333333333333,0.55,1575836713.11,55.8582
ainaGomi,Spanish,danza,da,-52.9766666666667,651.443333333333,509.713333333333,4.75333333333333,52.7166666666667,604867189.47,77.1398
albaMart,Spanish,danza,da,-81.84,588.073333333333,428.113333333333,6.38333333333333,102.55,572108655.933333,72.0265333333333
elenaFer,Spanish,danza,da,-35.9533333333333,530.866666666667,685.02,7.99666666666667,91.3666666666667,2774571192.21333,72.0220333333333
lauraRay,Spanish,danza,da,-20.48,1236.25333333333,1121.16,4.99,72.1733333333333,9497694961.57333,64.7817333333333
