group,id,item,language,misc,f1_start,f2_start,f1_cent,f2_cent,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P02,cabbage,english,5,485.4,796.32,477.16,766.06,119.9,10.24,1054.65,1475.1,2.4,8.04,NA,1,k,voiceless,stressed
bi_aldrich,P02,cashier,english,5,228.61,850.85,335.48,853.4,61.72,10.32,1701.46,2103.66,2.4,5.75,NA,1,k,voiceless,unstressed
bi_aldrich,P02,tattoo,english,5,241.77,831.68,334.14,832.14,80.64,11.09,3058.1,3389.29,0.51,-1.35,NA,1,t,voiceless,unstressed
bi_aldrich,P02,pompeii,english,5,235.6,722.44,385.43,562.66,65.53,8.22,190.23,338.75,15.97,368.77,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pontific,english,5,523.51,737.95,436.01,734.14,120.3,3.22,153.16,264.05,15.7,411.1,NA,1,p,voiceless,unstressed
bi_aldrich,P02,tackle,english,5,185,678.32,491.89,770.43,108.29,7.25,1895.03,2849.2,1.11,-0.53,NA,1,t,voiceless,stressed
bi_aldrich,P02,tambo,spanish,5,369.74,730.76,454.25,673.15,12.05,5.27,608.87,1145.55,4.26,20.92,NA,1,t,voiceless,stressed
bi_aldrich,P02,pacto,spanish,5,372.45,603.27,405.06,606.28,8.19,2.98,337.62,281.29,5.81,149.37,NA,1,p,voiceless,stressed
bi_aldrich,P02,tamaño,spanish,5,374.98,776.52,425.71,725.97,11.73,6.68,579.13,1491.06,4.19,17.62,NA,1,t,voiceless,unstressed
bi_aldrich,P02,tampoco,spanish,5,328.86,711.65,379.93,596.8,11.46,3.98,329.34,772.21,7.14,61.67,NA,1,t,voiceless,unstressed
bi_aldrich,P02,patente,spanish,5,258.88,683.19,357.35,641.91,8.63,6.48,209.75,420.13,11.18,166.16,NA,1,p,voiceless,unstressed
bi_aldrich,P02,taza,spanish,5,390.28,728.78,497.64,745.6,11.5,4.57,631.18,1642.67,3.96,15.24,NA,1,t,voiceless,stressed
bi_aldrich,P02,campo,spanish,5,274.61,791.63,451.83,740.29,16.48,10.04,1329.47,1052.07,2.5,15.77,NA,1,k,voiceless,stressed
bi_aldrich,P02,candela,spanish,5,318.86,833.63,455.97,787.39,22.8,7.37,727.31,681.52,2.15,10.02,NA,1,k,voiceless,unstressed
bi_aldrich,P02,tacha,spanish,5,401.8,762.56,470.4,762.28,13.12,6.7,443.24,739.13,9.29,101.31,NA,1,t,voiceless,stressed
bi_aldrich,P02,tapete,spanish,5,383.77,760.2,453.57,743.08,16.06,11.21,221.62,682.48,10.04,113.06,NA,1,t,voiceless,unstressed
bi_aldrich,P02,canción,spanish,5,280.23,725.07,444.84,758.2,27.44,14.17,1159.5,819.73,1.88,11.4,NA,1,k,voiceless,unstressed
bi_aldrich,P02,casero,spanish,5,274.22,819.55,407.18,765.46,16.37,11.15,648.9,758.31,3.86,28.35,NA,1,k,voiceless,unstressed
bi_aldrich,P02,casa,spanish,5,280.6,771.69,442.61,757.76,20.09,12.97,1516.88,683.26,1.55,20.36,NA,1,k,voiceless,stressed
