id,hist_sp,hist_en,use_sp,use_en,prof_sp,prof_en,att_sp,att_en,spanish,english,dominance,prof_dif,prof_std,use_std,dom_std
BIL4,39.952,44.492000000000004,20.71,33.79,45.4,49.94,45.4,45.4,151.462,173.622,-22.160000000000025,-4.539999999999999,-0.3582037607920964,-0.566306444386152,-0.5997014109574208
BIL10,40.86,34.958,49.050000000000004,5.45,54.480000000000004,45.4,54.480000000000004,49.94,198.87,135.748,63.122000000000014,9.080000000000005,1.564784849776002,1.9243149329141382,1.5103935006958227
BIL11,34.504,16.798000000000002,27.250000000000004,27.250000000000004,49.94,45.4,54.480000000000004,47.67,166.174,137.118,29.05600000000001,4.539999999999999,0.9237886462533018,0.008452334990838042,0.6675134877929902
BIL12,39.952,29.51,38.150000000000006,16.35,34.05,34.05,54.480000000000004,31.78,166.632,111.69,54.94200000000001,0,0.28279244273060267,0.9663836339524884,1.307999368553946
BIL14,37.682,44.492000000000004,30.520000000000003,22.89,54.480000000000004,52.21,49.94,47.67,172.622,167.262,5.360000000000014,2.270000000000003,0.6032905444919527,0.34372828962741575,0.0812138111140283
BIL15,32.688,40.406,29.430000000000003,25.07,47.67,47.67,54.480000000000004,34.05,164.26800000000003,147.196,17.07200000000003,0,0.28279244273060267,0.2000385947831682,0.37099866143745897
BIL17,40.406,31.326,45.78,8.72,45.4,38.59,52.21,40.86,183.79600000000002,119.496,64.30000000000003,6.809999999999995,1.244286748014651,1.6369355432256434,1.5395402351289686
BIL20,39.498000000000005,43.584,8.72,45.78,40.86,38.59,47.67,38.59,136.748,166.544,-29.79600000000002,2.269999999999996,0.6032905444919517,-1.6200308732439674,-0.7886355910350943
BIL24,13.620000000000001,45.4,20.71,33.79,40.86,45.4,49.94,49.94,125.13,174.53,-49.400000000000006,-4.539999999999999,-0.3582037607920964,-0.566306444386152,-1.2736887165252346
BIL25,19.522000000000002,45.854,25.07,29.430000000000003,38.59,54.480000000000004,52.21,54.480000000000004,135.392,184.24400000000003,-48.85200000000003,-15.89,-1.9606942695988445,-0.18313392480149213,-1.260129794225266
BIL26,34.050000000000004,17.706,29.430000000000003,25.07,47.67,47.67,54.480000000000004,52.21,165.63,142.656,22.97399999999999,0,0.28279244273060267,0.2000385947831682,0.5170292443104844
BIL27,27.694000000000003,43.584,7.630000000000001,46.870000000000005,38.59,54.480000000000004,49.94,40.86,123.85400000000001,185.79400000000004,-61.940000000000026,-15.89,-1.9606942695988445,-1.7158240031401326,-1.5839604056522685
BIL28,32.234,41.768,14.170000000000002,34.88,38.59,49.94,49.94,49.94,134.934,176.528,-41.593999999999994,-11.349999999999994,-1.3196980660761446,-0.9015823990227296,-1.0805483014274972
BIL30,39.952,40.406,19.62,33.79,49.94,52.21,49.94,49.94,159.452,176.346,-16.894000000000005,-2.270000000000003,-0.03770565903074739,-0.6142030093342344,-0.4694070955712195
BIL31,38.136,33.142,23.98,30.520000000000003,52.21,54.480000000000004,54.480000000000004,52.21,168.80599999999998,170.352,-1.5460000000000207,-2.270000000000003,-0.03770565903074739,-0.2789270546976571,-0.08965830093631487
BIL32,38.136,30.418,29.430000000000003,25.07,40.86,45.4,52.21,38.59,160.636,139.478,21.157999999999987,-4.539999999999999,-0.3582037607920964,0.2000385947831682,0.47209675727263
BIL33,38.136,37.228,38.150000000000006,16.35,49.94,47.67,47.67,43.13,173.89600000000002,144.37800000000001,29.518,2.269999999999996,0.6032905444919517,0.9663836339524884,0.678944550023986
