
12-0250-English-Spanish-t-d
11/24/2012	19:35:13

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group		Experiment	Experiment, 22	Stimulus (22, atun1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 42	Stimulus (42, daltonian3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 83	Stimulus (83, danseur2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 61	Stimulus (61, dancing1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 14	Stimulus (14, arbol2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 242	Stimulus (242, tamanno2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 120	Stimulus (120, firma3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 88	Stimulus (88, danzar1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 89	Stimulus (89, danzar2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 103	Stimulus (103, estufa1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 239	Stimulus (239, tactil2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 281	Stimulus (281, window2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 207	Stimulus (207, tabaco3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 127	Stimulus (127, four1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 225	Stimulus (225, tabu3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 139	Stimulus (139, isla1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 125	Stimulus (125, fork2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 47	Stimulus (47, dama2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 183	Stimulus (183, orgullo3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 99	Stimulus (99, eggplant3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 192	Stimulus (192, screen3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 29	Stimulus (29, dado2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 232	Stimulus (232, taco1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 182	Stimulus (182, orgullo2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 163	Stimulus (163, medico1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 97	Stimulus (97, eggplant1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 275	Stimulus (275, taza2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 117	Stimulus (117, ficha3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 31	Stimulus (31, daga1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 112	Stimulus (112, felino1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 167	Stimulus (167, mesa2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 237	Stimulus (237, tactics3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 79	Stimulus (79, danno1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 140	Stimulus (140, isla2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 70	Stimulus (70, danielle1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 57	Stimulus (57, damper3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 131	Stimulus (131, hand2.wav)				ENGLISH	NR	0					
