cons	stress	subject	VOT	lang
127	d	Unstressed	paulinaB	-14.0586666666667	Spanish
128	t	Unstressed	paulinaB	18.695	Spanish
129	d	Stressed	priscill	-49.321875	Spanish
130	t	Stressed	priscill	13.0358333333333	Spanish
131	d	Unstressed	priscill	-12.986	Spanish
132	t	Unstressed	priscill	13.51	Spanish
133	d	Stressed	serenaVa	-93.8953333333333	Spanish
134	t	Stressed	serenaVa	22.638	Spanish
135	d	Unstressed	serenaVa	-45.2213333333333	Spanish
136	t	Unstressed	serenaVa	12.7371428571429	Spanish
137	d	Stressed	veronica	-122.327857142857	Spanish
138	t	Stressed	veronica	14.6013333333333	Spanish
139	d	Unstressed	veronica	-41.5786666666667	Spanish
140	t	Unstressed	veronica	16.78	Spanish
141	d	Stressed	vivianaG	-90.4013333333333	Spanish
142	t	Stressed	vivianaG	8.19428571428571	Spanish
143	d	Unstressed	vivianaG	-84.313125	Spanish
144	t	Unstressed	vivianaG	9.26	Spanish
145	d	Stressed	yamileDi	-84.5746666666667	Spanish
146	t	Stressed	yamileDi	9.23214285714286	Spanish
147	d	Unstressed	yamileDi	-70.564375	Spanish
148	t	Unstressed	yamileDi	9.50266666666667	Spanish
149	d	Stressed	zaidaVeg	-64.1292857142857	Spanish
150	t	Stressed	zaidaVeg	14.9269230769231	Spanish
151	d	Unstressed	zaidaVeg	-46.9913333333333	Spanish
152	t	Unstressed	zaidaVeg	16.1046666666667	Spanish
