P02ePOA_173_lpf,pastel,1,miss,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,
P02ePOA_174_lpf,cavalier,5,hit,212.39,813.22,462.95,760.08,91.60,13.60,723.08,1267.61,2.85,12.16,
P02ePOA_175_lpf,tactility,5,hit,328.73,776.58,424.70,800.46,64.39,11.02,4682.90,3136.37,-0.21,-1.27,
P02ePOA_176_lpf,tomfoolery,5,hit,228.71,723.85,267.89,584.80,63.21,11.08,2402.81,3756.63,1.31,-0.10,stutter/pause
P02ePOA_177_lpf,pastor,1,miss,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,
P02ePOA_178_lpf,captain,5,hit,790.98,938.68,426.64,694.23,75.69,8.77,568.24,1166.38,5.79,37.62,
P02ePOA_179_lpf,tantrum,5,hit,572.68,824.41,452.77,780.12,86.65,13.33,7361.55,2686.40,-1.66,1.85,
P02ePOA_180_lpf,casket,5,hit,322.68,718.82,480.23,678.96,95.13,7.37,1451.59,1593.15,2.51,9.42,
P02ePOA_181_lpf,canteen,5,hit,216.47,836.69,445.07,821.80,104.99,16.73,1371.92,1573.73,2.97,13.87,
P02ePOA_182_lpf,passivity,5,hit,231.83,790.89,230.72,778.33,86.22,6.13,243.14,311.79,14.94,360.96,
P02ePOA_183_lpf,pandemic,5,hit,259.75,755.15,448.83,791.22,83.56,7.65,214.95,401.71,12.62,214.71,pause
P02ePOA_184_lpf,tabernacle,5,hit,215.26,909.43,314.70,910.59,81.32,12.81,2455.12,3062.10,0.79,-1.11,pause
P02ePOA_185_lpf,capsize,5,hit,219.19,746.41,444.62,666.14,72.80,3.28,77.85,181.06,26.93,1066.59,
P02ePOA_186_lpf,pageant,5,hit,193.65,967.35,283.37,956.36,73.71,8.30,443.16,761.38,4.62,40.71,
P02ePOA_187_lpf,captivity,5,hit,210.23,846.50,474.03,782.97,65.02,18.86,260.01,473.67,12.64,228.79,
P02ePOA_188_lpf,tactician,5,hit,264.95,800.89,409.66,828.38,57.34,12.30,2008.06,2775.70,0.95,-0.58,pause
P02ePOA_189_lpf,passion,5,hit,503.00,777.28,443.98,668.04,87.03,7.39,178.60,212.21,10.33,300.68,
P02ePOA_190_lpf,taffy,5,hit,501.14,812.80,461.18,741.59,87.80,8.99,1216.05,2250.03,1.80,1.99,
P02ePOA_191_lpf,tandem,5,hit,492.00,790.41,462.72,787.28,186.46,13.14,4292.80,3114.16,-0.14,-1.22,
P02ePOA_192_lpf,tacit,5,hit,534.06,831.53,480.34,810.10,78.37,11.95,1438.12,2682.94,1.72,1.45,
P02ePOA_193_lpf,tangential,5,hit,234.55,817.52,462.44,800.00,92.84,16.41,4140.37,3724.37,0.19,-1.66,
P02ePOA_194_lpf,table,1,miss,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,
P02ePOA_195_lpf,panel,1,miss,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,999.00,
P02ePOA_196_lpf,casting,5,hit,243.81,944.93,322.08,943.75,78.30,12.52,2070.73,1748.66,1.52,4.05,
