BIL_barbaraPadilla_daba_spanish_1131,409.87,754.73,164.32,781.35,-83.77,-3.43,508.91,348.40,6.16,144.79,app
BIL_barbaraPadilla_daba_spanish_1243,402.68,742.52,432.97,708.50,-54.05,-4.87,448.46,310.00,13.61,440.42,release
BIL_barbaraPadilla_daba_spanish_1255,381.82,748.81,174.91,619.31,-38.17,-2.13,426.68,356.57,12.58,304.93,app
BIL_barbaraPadilla_dado_spanish_1025,354.08,752.66,409.80,646.91,-80.05,-3.14,519.26,723.10,9.19,120.80,
BIL_barbaraPadilla_dado_spanish_1173,342.12,756.68,195.14,631.79,-47.11,1.14,470.86,596.29,12.72,198.26,release
BIL_barbaraPadilla_dado_spanish_1209,407.95,739.92,258.18,588.70,-74.44,-0.61,894.89,1201.81,4.70,28.69,
BIL_barbaraPadilla_daga_spanish_1066,410.97,746.36,355.92,753.95,-99.69,1.53,1499.04,1732.78,2.65,8.50,
BIL_barbaraPadilla_daga_spanish_1113,394.55,748.95,174.66,634.13,-40.61,-0.97,504.65,541.90,9.92,165.58,
BIL_barbaraPadilla_daga_spanish_1123,424.70,733.38,661.39,972.07,12.09,4.74,708.59,1154.29,7.77,84.43,
BIL_barbaraPadilla_dagger_english_1012,389.21,824.12,337.93,864.82,16.02,-2.43,1283.43,1863.19,2.82,10.24,
BIL_barbaraPadilla_dagger_english_1111,375.89,833.33,819.43,1024.99,17.54,5.53,2565.77,2400.20,1.67,2.81,
BIL_barbaraPadilla_dagger_english_1271,368.26,824.92,161.27,815.03,17.76,3.28,769.52,1186.67,3.87,19.74,
BIL_barbaraPadilla_dakota_english_1092,350.84,770.28,307.13,803.33,-61.20,7.95,4356.77,2760.29,0.58,-0.58,
BIL_barbaraPadilla_dakota_english_1153,334.64,806.69,344.52,858.78,19.12,6.81,1183.44,1550.39,3.36,14.48,
BIL_barbaraPadilla_dakota_english_1207,341.77,790.60,340.58,842.13,25.81,8.47,2895.63,3025.61,0.93,0.22,
BIL_barbaraPadilla_daltonian_english_1058,415.07,790.97,349.40,840.54,32.45,9.00,3345.08,3121.07,0.92,0.30,
BIL_barbaraPadilla_daltonian_english_1074,393.21,768.91,320.39,826.25,23.96,6.67,1733.47,1675.88,2.51,8.67,
BIL_barbaraPadilla_daltonian_english_1263,412.50,765.45,342.09,703.12,21.72,4.62,2996.22,3151.93,1.25,0.19,
BIL_barbaraPadilla_daltonico_spanish_1078,402.41,741.36,375.40,789.34,-37.83,-2.38,408.52,525.45,11.23,204.86,app
BIL_barbaraPadilla_daltonico_spanish_1147,402.41,741.36,375.40,789.34,-37.83,-2.38,408.52,525.45,11.23,204.86,app
BIL_barbaraPadilla_daltonico_spanish_1211,402.41,741.36,375.40,789.34,-37.83,-2.38,408.52,525.45,11.23,204.86,app
BIL_barbaraPadilla_dama_spanish_1044,402.41,741.36,375.40,789.34,-37.83,-2.38,408.52,525.45,11.23,204.86,app
BIL_barbaraPadilla_dama_spanish_1064,415.41,747.25,418.83,728.65,-74.60,-4.13,508.27,592.16,9.42,132.49,
BIL_barbaraPadilla_dama_spanish_1177,397.16,739.34,173.17,627.31,-89.55,-2.75,391.68,470.62,16.33,353.92,
BIL_barbaraPadilla_damage_english_1117,453.59,818.15,264.98,772.09,46.84,8.51,2823.66,2296.30,1.76,4.53,
BIL_barbaraPadilla_damage_english_1225,353.32,856.89,307.82,769.64,23.44,5.52,2821.42,2939.73,1.21,1.04,
BIL_barbaraPadilla_damage_english_1241,362.93,839.85,315.57,808.53,24.31,5.36,2780.60,1723.52,1.89,7.18,
BIL_barbaraPadilla_damnation_english_1159,373.26,816.43,361.35,812.41,21.23,6.36,1262.52,2064.59,2.36,6.03,
BIL_barbaraPadilla_damnation_english_1185,374.02,819.20,342.42,669.37,22.60,9.30,1837.28,2610.86,1.83,2.82,
BIL_barbaraPadilla_damnation_english_1269,363.10,814.79,355.80,837.60,28.08,9.56,857.65,1283.22,4.81,28.60,
BIL_barbaraPadilla_damper_english_1094,397.01,811.58,820.10,927.06,22.76,6.85,1414.27,2067.73,2.52,6.51,
BIL_barbaraPadilla_damper_english_1137,382.94,811.60,211.51,819.79,20.18,4.94,2415.45,2073.87,1.45,3.77,
BIL_barbaraPadilla_damper_english_1195,386.80,841.51,347.13,842.17,21.97,6.84,2388.75,2749.75,1.57,1.87,
BIL_barbaraPadilla_danar_spanish_1167,386.80,841.51,347.13,842.17,21.97,6.84,2388.75,2749.75,1.57,1.87,app
BIL_barbaraPadilla_danar_spanish_1191,386.80,841.51,347.13,842.17,21.97,6.84,2388.75,2749.75,1.57,1.87,app
BIL_barbaraPadilla_danar_spanish_1217,386.80,841.51,347.13,842.17,21.97,6.84,2388.75,2749.75,1.57,1.87,app
BIL_barbaraPadilla_dancet_english_1018,381.65,815.72,309.80,839.22,19.64,4.88,1751.24,1918.70,2.00,6.12,
BIL_barbaraPadilla_dancette_english_1129,385.91,812.73,317.65,819.49,24.97,6.77,2188.82,2424.15,1.23,1.51,
BIL_barbaraPadilla_dancette_english_1245,368.00,808.44,353.70,821.48,26.86,8.43,3109.47,2830.92,0.88,0.38,
BIL_barbaraPadilla_dancing_english_1008,361.78,824.86,356.20,847.68,18.95,4.70,1162.12,1515.94,3.41,14.88,
BIL_barbaraPadilla_dancing_english_1029,442.20,837.28,305.96,814.48,43.23,5.07,1434.58,1837.56,2.60,7.59,
BIL_barbaraPadilla_dancing_english_1171,365.73,833.81,307.14,781.98,17.93,2.70,3285.03,2695.00,1.06,0.50,
BIL_barbaraPadilla_danes_spanish_1010,427.66,757.50,305.17,827.69,15.39,5.28,998.41,1858.95,5.09,34.00,
BIL_barbaraPadilla_danes_spanish_1141,427.66,757.50,305.17,827.69,15.39,5.28,998.41,1858.95,5.09,34.00,app
BIL_barbaraPadilla_danesa_spanish_1096,348.30,782.79,328.12,720.81,27.03,18.00,650.66,1107.46,7.25,94.29,
