"cons" "stress" "subject" "VOT" "lang"
"105" "d" "stressed" "jeanette" -95.9993333333333 "Spanish"
"106" "t" "stressed" "jeanette" 10.502 "Spanish"
"107" "d" "unstressed" "jeanette" -63.5553333333333 "Spanish"
"108" "t" "unstressed" "jeanette" 16.86 "Spanish"
"109" "d" "stressed" "karlaNav" -124.722142857143 "Spanish"
"110" "t" "stressed" "karlaNav" 10.3585714285714 "Spanish"
"111" "d" "unstressed" "karlaNav" -102.817142857143 "Spanish"
"112" "t" "unstressed" "karlaNav" 9.63285714285714 "Spanish"
"113" "d" "stressed" "lindaLop" -6.46466666666667 "Spanish"
"114" "t" "stressed" "lindaLop" 12.1125 "Spanish"
"115" "d" "unstressed" "lindaLop" 16.904 "Spanish"
"116" "t" "unstressed" "lindaLop" 19.5735714285714 "Spanish"
"117" "d" "stressed" "melindaP" -72.4114285714286 "Spanish"
"118" "t" "stressed" "melindaP" 13.0235714285714 "Spanish"
"119" "d" "unstressed" "melindaP" -45.79 "Spanish"
"120" "t" "unstressed" "melindaP" 14.2726666666667 "Spanish"
"121" "d" "stressed" "melissaP" -88.8461538461539 "Spanish"
"122" "t" "stressed" "melissaP" 7.73785714285714 "Spanish"
"123" "d" "unstressed" "melissaP" -69.3013333333333 "Spanish"
"124" "t" "unstressed" "melissaP" 9.20733333333333 "Spanish"
"125" "d" "stressed" "paulinaB" -43.404 "Spanish"
"126" "t" "stressed" "paulinaB" 20.2553333333333 "Spanish"
"127" "d" "unstressed" "paulinaB" -14.0586666666667 "Spanish"
"128" "t" "unstressed" "paulinaB" 18.695 "Spanish"
"129" "d" "stressed" "priscill" -49.321875 "Spanish"
"130" "t" "stressed" "priscill" 13.0358333333333 "Spanish"
"131" "d" "unstressed" "priscill" -12.986 "Spanish"
"132" "t" "unstressed" "priscill" 13.51 "Spanish"
"133" "d" "stressed" "serenaVa" -93.8953333333333 "Spanish"
"134" "t" "stressed" "serenaVa" 22.638 "Spanish"
"135" "d" "unstressed" "serenaVa" -45.2213333333333 "Spanish"
"136" "t" "unstressed" "serenaVa" 12.7371428571429 "Spanish"
"137" "d" "stressed" "veronica" -122.327857142857 "Spanish"
"138" "t" "stressed" "veronica" 14.6013333333333 "Spanish"
"139" "d" "unstressed" "veronica" -41.5786666666667 "Spanish"
"140" "t" "unstressed" "veronica" 16.78 "Spanish"
"141" "d" "stressed" "vivianaG" -90.4013333333333 "Spanish"
"142" "t" "stressed" "vivianaG" 8.19428571428571 "Spanish"
"143" "d" "unstressed" "vivianaG" -84.313125 "Spanish"
"144" "t" "unstressed" "vivianaG" 9.26 "Spanish"
"145" "d" "stressed" "yamileDi" -84.5746666666667 "Spanish"
"146" "t" "stressed" "yamileDi" 9.23214285714286 "Spanish"
"147" "d" "unstressed" "yamileDi" -70.564375 "Spanish"
"148" "t" "unstressed" "yamileDi" 9.50266666666667 "Spanish"
"149" "d" "stressed" "zaidaVeg" -64.1292857142857 "Spanish"
"150" "t" "stressed" "zaidaVeg" 14.9269230769231 "Spanish"
"151" "d" "unstressed" "zaidaVeg" -46.9913333333333 "Spanish"
"152" "t" "unstressed" "zaidaVeg" 16.1046666666667 "Spanish"
