"token" "subject" "word" "group" "language" "cons" "stress" "vot" "cog" "sd" "skew" "kurt" "cm"
"867" "BIL_jeanetteValencia_danesa_spanish_1204" "jeanette" "danesa" "bilingual" "Spanish" "d" "unstressed" -25.61 294.76 253.32 33.1 1497.4 538001674.89
"868" "BIL_jeanetteValencia_danielle_english_1102" "jeanette" "danielle" "bilingual" "English" "d" "unstressed" 22.17 3700.58 2056.04 0.5 1.34 4334823580.29
"869" "BIL_jeanetteValencia_danielle_english_1150" "jeanette" "danielle" "bilingual" "English" "d" "unstressed" 20.15 4178.44 1928.84 0.33 2.7 2399374437.29
"870" "BIL_jeanetteValencia_danielle_english_1244" "jeanette" "danielle" "bilingual" "English" "d" "unstressed" 17.68 2857.08 2234.15 0.7 1.04 7777339643.75
"871" "BIL_jeanetteValencia_danino_spanish_1120" "jeanette" "danino" "bilingual" "Spanish" "d" "unstressed" -76.64 540.42 456.73 9.34 160.02 890027678.61
"872" "BIL_jeanetteValencia_danino_spanish_1266" "jeanette" "danino" "bilingual" "Spanish" "d" "unstressed" -49.64 527.91 340.94 13.91 321.02 551068921.46
"873" "BIL_jeanetteValencia_danino_spanish_1280" "jeanette" "danino" "bilingual" "Spanish" "d" "unstressed" -23.8 337.66 437.78 21.3 525.73 1787451227.58
"874" "BIL_jeanetteValencia_dano_spanish_1054" "jeanette" "dano" "bilingual" "Spanish" "d" "stressed" -98.9 1043.16 1421.98 3.42 15.17 9829714641.77
"875" "BIL_jeanetteValencia_dano_spanish_1188" "jeanette" "dano" "bilingual" "Spanish" "d" "stressed" -79.9 543.6 394.81 8.68 144.78 534449225.78
"876" "BIL_jeanetteValencia_dano_spanish_1214" "jeanette" "dano" "bilingual" "Spanish" "d" "stressed" -104.87 702.05 817.89 7.07 70 3866697585.59
"877" "BIL_jeanetteValencia_danza_spanish_1048" "jeanette" "danza" "bilingual" "Spanish" "d" "stressed" -84.15 559.64 525.81 7.63 91.48 1109782698.56
"878" "BIL_jeanetteValencia_danza_spanish_1130" "jeanette" "danza" "bilingual" "Spanish" "d" "stressed" -94.57 566.14 409.76 8.36 133.73 575125590.69
"879" "BIL_jeanetteValencia_danza_spanish_1288" "jeanette" "danza" "bilingual" "Spanish" "d" "stressed" -69.18 1975.28 2163.29 2.56 9.46 25884138495.7
"880" "BIL_jeanetteValencia_danzar_spanish_1030" "jeanette" "danzar" "bilingual" "Spanish" "d" "unstressed" -49.71 959.47 1393.19 4.39 24.04 11862875444.06
"881" "BIL_jeanetteValencia_danzar_spanish_1122" "jeanette" "danzar" "bilingual" "Spanish" "d" "unstressed" -105.36 560.2 472.48 8.02 114.37 846176487.45
"882" "BIL_jeanetteValencia_danzar_spanish_1254" "jeanette" "danzar" "bilingual" "Spanish" "d" "unstressed" -72.62 360.36 661.11 14.33 279.79 4140966376.65
"883" "BIL_jeanetteValencia_dazzle_english_1002" "jeanette" "dazzle" "bilingual" "English" "d" "stressed" 27.85 5632.79 2676.21 0.12 -0.33 2273926996.38
"884" "BIL_jeanetteValencia_dazzle_english_1026" "jeanette" "dazzle" "bilingual" "English" "d" "stressed" 20.63 3438.68 1706.07 -0.92 0.64 -4545928411.91
"885" "BIL_jeanetteValencia_dazzle_english_1152" "jeanette" "dazzle" "bilingual" "English" "d" "stressed" 20.62 2695.09 2297.21 0.35 -0.47 4277924425.32
"886" "BIL_jeanetteValencia_tabaco_spanish_1080" "jeanette" "tabaco" "bilingual" "Spanish" "t" "unstressed" 12.27 570.35 703.76 9.17 107.5 3194874881.74
"887" "BIL_jeanetteValencia_tabaco_spanish_1164" "jeanette" "tabaco" "bilingual" "Spanish" "t" "unstressed" 14.75 582.07 465.04 8.58 131.21 863171995.49
"888" "BIL_jeanetteValencia_tabaco_spanish_1240" "jeanette" "tabaco" "bilingual" "Spanish" "t" "unstressed" 12.24 532.81 460.89 11.09 199.45 1085366439.41
"889" "BIL_jeanetteValencia_taberna_spanish_1014" "jeanette" "taberna" "bilingual" "Spanish" "t" "unstressed" 10.7 513.04 628.38 10.03 130.55 2489874932.47
"890" "BIL_jeanetteValencia_taberna_spanish_1046" "jeanette" "taberna" "bilingual" "Spanish" "t" "unstressed" 12.26 653.01 928.37 6.36 52.09 5092319095.5
"891" "BIL_jeanetteValencia_taberna_spanish_1162" "jeanette" "taberna" "bilingual" "Spanish" "t" "unstressed" 9.93 656.72 560.41 7.91 97.35 1391796192.24
"892" "BIL_jeanetteValencia_tabla_spanish_1066" "jeanette" "tabla" "bilingual" "Spanish" "t" "stressed" 12.62 622.15 538.4 8.03 112.46 1252743978.6
"893" "BIL_jeanetteValencia_tabla_spanish_1156" "jeanette" "tabla" "bilingual" "Spanish" "t" "stressed" 10.05 618.17 493.05 7.95 114.4 953492591.02
"894" "BIL_jeanetteValencia_tabla_spanish_1192" "jeanette" "tabla" "bilingual" "Spanish" "t" "stressed" 8.88 602.14 485.77 7.93 118.01 908614059.55
"895" "BIL_jeanetteValencia_tabloid_english_1018" "jeanette" "tabloid" "bilingual" "English" "t" "stressed" 98.34 3097.33 2303.15 1.01 1.42 12345252828.44
"896" "BIL_jeanetteValencia_tabloid_english_1114" "jeanette" "tabloid" "bilingual" "English" "t" "stressed" 89.87 3526.41 2607.96 0.59 0.28 10537456331.27
"897" "BIL_jeanetteValencia_tabloid_english_1132" "jeanette" "tabloid" "bilingual" "English" "t" "stressed" 107.11 4977.31 2090.93 0.19 1.09 1709143973.38
"898" "BIL_jeanetteValencia_taboo_english_1112" "jeanette" "taboo" "bilingual" "English" "t" "unstressed" 59.57 5123.59 1928.1 0.42 1.43 3003639874.68
"899" "BIL_jeanetteValencia_taboo_english_1144" "jeanette" "taboo" "bilingual" "English" "t" "unstressed" 65 4286.29 1294.04 0.66 7.56 1428170073.62
"900" "BIL_jeanetteValencia_taboo_english_1248" "jeanette" "taboo" "bilingual" "English" "t" "unstressed" 38.2 4370.35 1428.82 1.56 8.58 4542678016.24
"901" "BIL_jeanetteValencia_tackle_english_1190" "jeanette" "tackle" "bilingual" "English" "t" "stressed" 72.72 4614.75 2820.3 0.83 0.44 18675220729.03
"902" "BIL_jeanetteValencia_tackle_english_1210" "jeanette" "tackle" "bilingual" "English" "t" "stressed" 82.93 4621.65 1427.81 1.69 8.87 4919612566.5
"903" "BIL_jeanetteValencia_tackle_english_1224" "jeanette" "tackle" "bilingual" "English" "t" "stressed" 75.7 5693.51 2046.48 -0.16 1.54 -1393763048.27
"904" "BIL_jeanetteValencia_tactics_english_1010" "jeanette" "tactics" "bilingual" "English" "t" "stressed" 90.66 4835.52 2429.1 0.85 0.87 12214672588.36
"905" "BIL_jeanetteValencia_tactics_english_1052" "jeanette" "tactics" "bilingual" "English" "t" "stressed" 80.27 4572.72 1638.6 1.25 4.16 5487751844.86
"906" "BIL_jeanetteValencia_tactics_english_1146" "jeanette" "tactics" "bilingual" "English" "t" "stressed" 81.27 4937.24 2188.34 0.16 1.09 1701080648.35
"907" "BIL_jeanetteValencia_tactil_spanish_1158" "jeanette" "tactil" "bilingual" "Spanish" "t" "stressed" 12.74 636.4 645.24 7.9 93.35 2122844487.18
"908" "BIL_jeanetteValencia_tactil_spanish_1174" "jeanette" "tactil" "bilingual" "Spanish" "t" "stressed" 10.24 634.71 443.14 8.79 136.06 764841824.34
"909" "BIL_jeanetteValencia_tactil_spanish_1276" "jeanette" "tactil" "bilingual" "Spanish" "t" "stressed" 4.4 658.63 649.13 7.69 89.47 2104486447.71
"910" "BIL_jeanetteValencia_tamano_spanish_1058" "jeanette" "tamano" "bilingual" "Spanish" "t" "unstressed" 11.51 592.79 654.15 9.09 109.81 2543930192.19
"911" "BIL_jeanetteValencia_tamano_spanish_1136" "jeanette" "tamano" "bilingual" "Spanish" "t" "unstressed" 7.71 582.79 409.73 7.53 126.93 518105793.04
"912" "BIL_jeanetteValencia_tamano_spanish_1238" "jeanette" "tamano" "bilingual" "Spanish" "t" "unstressed" 15.79 1134.72 1676.63 3.32 12.12 15661182752.68
"913" "BIL_jeanetteValencia_tambien_spanish_1140" "jeanette" "tambien" "bilingual" "Spanish" "t" "unstressed" 14.62 638.62 822.62 5.46 50.21 3037997618.5
"914" "BIL_jeanetteValencia_tambien_spanish_1168" "jeanette" "tambien" "bilingual" "Spanish" "t" "unstressed" 13.97 1104.4 1685.55 3.35 11.57 16065006098.59
"915" "BIL_jeanetteValencia_tambien_spanish_1242" "jeanette" "tambien" "bilingual" "Spanish" "t" "unstressed" 12.39 675.22 924.65 7.53 68.09 5953760985.37
"916" "BIL_jeanetteValencia_tambourine_english_1044" "jeanette" "tambourine" "bilingual" "English" "t" "unstressed" 66.87 4268.61 1898.82 1.12 4.43 7687221441.39
"917" "BIL_jeanetteValencia_tambourine_english_1186" "jeanette" "tambourine" "bilingual" "English" "t" "unstressed" 66.22 5632.33 3009.27 0.13 -0.53 3569799404.09
"918" "BIL_jeanetteValencia_tambourine_english_1202" "jeanette" "tambourine" "bilingual" "English" "t" "unstressed" 62.86 4313.1 1185.82 1.53 11 2548742032.86
"919" "BIL_jeanetteValencia_tampoco_spanish_1038" "jeanette" "tampoco" "bilingual" "Spanish" "t" "unstressed" 20.26 1526.77 1451.26 2.61 11.33 7971490510.87
"920" "BIL_jeanetteValencia_tampoco_spanish_1090" "jeanette" "tampoco" "bilingual" "Spanish" "t" "unstressed" 3.15 559.55 473.81 8.05 124.42 856398951.7
"921" "BIL_jeanetteValencia_tampoco_spanish_1172" "jeanette" "tampoco" "bilingual" "Spanish" "t" "unstressed" 13.62 720.01 1236.9 6.06 39.14 11462113079.07
"922" "BIL_jeanetteValencia_tanker_english_1108" "jeanette" "tanker" "bilingual" "English" "t" "stressed" 81.38 5434.97 2396.99 0.42 0.87 5771391536.55
"923" "BIL_jeanetteValencia_tanker_english_1250" "jeanette" "tanker" "bilingual" "English" "t" "stressed" 79.55 5228.91 2754.65 0.71 0.23 14810649837.89
"924" "BIL_jeanetteValencia_tanker_english_1260" "jeanette" "tanker" "bilingual" "English" "t" "stressed" 70.28 3395.17 1900 0.04 1.47 280923903.46
"925" "BIL_jeanetteValencia_tanque_spanish_1032" "jeanette" "tanque" "bilingual" "Spanish" "t" "stressed" 9.16 647.97 526.76 7.53 101.38 1099888208.77
"926" "BIL_jeanetteValencia_tanque_spanish_1078" "jeanette" "tanque" "bilingual" "Spanish" "t" "stressed" 10.21 796.92 588.83 4.74 39.83 967234885.4
"927" "BIL_jeanetteValencia_tanque_spanish_1208" "jeanette" "tanque" "bilingual" "Spanish" "t" "stressed" 10.45 626.71 519.69 8.79 153.77 1233097990.15
"928" "BIL_jeanetteValencia_tanto_spanish_1028" "jeanette" "tanto" "bilingual" "Spanish" "t" "stressed" 10.03 590.39 514.78 9.54 133.8 1302067682.15
"929" "BIL_jeanetteValencia_tanto_spanish_1056" "jeanette" "tanto" "bilingual" "Spanish" "t" "stressed" 10.46 619.68 469.17 9.52 202.33 983155578.82
"930" "BIL_jeanetteValencia_tanto_spanish_1230" "jeanette" "tanto" "bilingual" "Spanish" "t" "stressed" 14.49 1396.47 2251.26 2.39 4.66 27313354011.34
"931" "BIL_jeanetteValencia_tantrum_english_1034" "jeanette" "tantrum" "bilingual" "English" "t" "stressed" 80.52 5184.48 2765.34 0.71 1.08 15062940734.62
"932" "BIL_jeanetteValencia_tantrum_english_1138" "jeanette" "tantrum" "bilingual" "English" "t" "stressed" 72.77 5293.73 1481.21 0.08 5.02 258163073.12
"933" "BIL_jeanetteValencia_tantrum_english_1154" "jeanette" "tantrum" "bilingual" "English" "t" "stressed" 93.3 4546.61 1099.02 0.33 8.79 440119614.14
"934" "BIL_jeanetteValencia_tapioca_english_1124" "jeanette" "tapioca" "bilingual" "English" "t" "unstressed" 78.86 2900.34 2464.2 0.55 -0.06 8238577214.62
"935" "BIL_jeanetteValencia_tapioca_english_1200" "jeanette" "tapioca" "bilingual" "English" "t" "unstressed" 60.36 4078.1 1030.57 1.02 12.23 1115831894.74
"936" "BIL_jeanetteValencia_tapioca_english_1286" "jeanette" "tapioca" "bilingual" "English" "t" "unstressed" 63.01 4333.4 2119.81 0.95 2.63 9065116366.84
"937" "BIL_jeanetteValencia_tattoo_english_1076" "jeanette" "tattoo" "bilingual" "English" "t" "unstressed" 74.45 3858.91 2191.87 0.6 2.13 6276446505.34
"938" "BIL_jeanetteValencia_tattoo_english_1268" "jeanette" "tattoo" "bilingual" "English" "t" "unstressed" 55.96 4559.02 1469.06 0.41 5.43 1297215298.35
"939" "BIL_jeanetteValencia_tattoo_spanish_1194" "jeanette" "tattoo" "bilingual" "Spanish" "t" "unstressed" 84.59 4926.86 2689.59 0.79 1.09 15421299350.7
"940" "BIL_jeanetteValencia_tattooing_english_1068" "jeanette" "tattooing" "bilingual" "English" "t" "unstressed" 58.01 4230.21 1777.24 1.15 6.38 6462449618.39
"941" "BIL_jeanetteValencia_tattooing_english_1096" "jeanette" "tattooing" "bilingual" "English" "t" "unstressed" 63.91 4596.09 1865.52 0.56 2.22 3609496233.86
"942" "BIL_jeanetteValencia_tattooing_english_1226" "jeanette" "tattooing" "bilingual" "English" "t" "unstressed" 66.32 4280.21 2285.29 0.75 1.9 9005299901.19
"943" "BIL_jeanetteValencia_taza_spanish_1022" "jeanette" "taza" "bilingual" "Spanish" "t" "stressed" 14.86 1344.51 2097.9 2.57 5.7 23735767000
"944" "BIL_jeanetteValencia_taza_spanish_1110" "jeanette" "taza" "bilingual" "Spanish" "t" "stressed" 9.5 651.89 394.73 8.43 141.95 518178872.26
"945" "BIL_jeanetteValencia_taza_spanish_1212" "jeanette" "taza" "bilingual" "Spanish" "t" "stressed" 9.44 726.15 500.36 6.24 72.08 781647841.39
"946" "BIL_karlaNavarro_daba_spanish_1040" "karlaNav" "daba" "bilingual" "Spanish" "d" "stressed" -132.68 587.04 510.63 7.08 91.16 942701476.7
"947" "BIL_karlaNavarro_daba_spanish_1046" "karlaNav" "daba" "bilingual" "Spanish" "d" "stressed" -137.46 655.61 392.86 7.53 148.36 456638492.77
"948" "BIL_karlaNavarro_daba_spanish_1050" "karlaNav" "daba" "bilingual" "Spanish" "d" "stressed" -190.16 552.28 368.3 7.3 125.12 364917050.53
"949" "BIL_karlaNavarro_daga_spanish_1062" "karlaNav" "daga" "bilingual" "Spanish" "d" "stressed" 0 668.73 594.7 5.3 99.29 1114183371.3
"950" "BIL_karlaNavarro_daga_spanish_1172" "karlaNav" "daga" "bilingual" "Spanish" "d" "stressed" -100 728.79 564.67 3.67 25.1 661403917.35
"951" "BIL_karlaNavarro_daga_spanish_1238" "karlaNav" "daga" "bilingual" "Spanish" "d" "stressed" -129.04 507.07 411.99 9.46 155.04 661593752.95
"952" "BIL_karlaNavarro_dagger_english_1154" "karlaNav" "dagger" "bilingual" "English" "d" "stressed" -149.46 1572.53 2465.85 1.74 2.04 26121524034.14
"953" "BIL_karlaNavarro_dagger_english_1234" "karlaNav" "dagger" "bilingual" "English" "d" "stressed" -111.52 1579 2451.82 1.74 1.76 25594812577.56
"954" "BIL_karlaNavarro_dagger_english_1252" "karlaNav" "dagger" "bilingual" "English" "d" "stressed" 19.54 1810.17 2478.1 1.71 2.33 26050333896.45
"955" "BIL_karlaNavarro_dakota_english_1042" "karlaNav" "dakota" "bilingual" "English" "d" "unstressed" -97.51 381.38 380.22 15.35 330.11 843805910.29
"956" "BIL_karlaNavarro_dakota_english_1184" "karlaNav" "dakota" "bilingual" "English" "d" "unstressed" -158.93 459.53 851.63 7.65 78.2 4727381789.9
"957" "BIL_karlaNavarro_dakota_english_1256" "karlaNav" "dakota" "bilingual" "English" "d" "unstressed" 14.33 377.63 671.35 9.99 122.21 3024044992.62
"958" "BIL_karlaNavarro_daltonian_english_1028" "karlaNav" "daltonian" "bilingual" "English" "d" "unstressed" -72.4 975.26 1799.83 3.39 14.45 19789917939.92
"959" "BIL_karlaNavarro_daltonian_english_1102" "karlaNav" "daltonian" "bilingual" "English" "d" "unstressed" -80.37 420.8 754.96 10 116.81 4303040292.9
"960" "BIL_karlaNavarro_daltonian_english_1110" "karlaNav" "daltonian" "bilingual" "English" "d" "unstressed" 15.71 430.03 824.38 6.71 69.8 3759114074.9
"961" "BIL_karlaNavarro_daltonico_spanish_1002" "karlaNav" "daltonico" "bilingual" "Spanish" "d" "unstressed" -109.76 763.94 710.68 4.01 31.69 1441068713.13
"962" "BIL_karlaNavarro_daltonico_spanish_1146" "karlaNav" "daltonico" "bilingual" "Spanish" "d" "unstressed" -99.44 702.75 564.79 4.8 37.96 864315724.4
"963" "BIL_karlaNavarro_daltonico_spanish_1176" "karlaNav" "daltonico" "bilingual" "Spanish" "d" "unstressed" -123.89 677.4 614.52 6 63.51 1392817261.26
"964" "BIL_karlaNavarro_dama_spanish_1074" "karlaNav" "dama" "bilingual" "Spanish" "d" "stressed" -193.28 569.85 426.37 7.09 122.36 549475251.34
"965" "BIL_karlaNavarro_dama_spanish_1124" "karlaNav" "dama" "bilingual" "Spanish" "d" "stressed" -127.01 751.98 528.73 3.02 20.8 445687360.86
"966" "BIL_karlaNavarro_damage_english_1076" "karlaNav" "damage" "bilingual" "English" "d" "stressed" 15.13 777.81 975.14 2.97 14.62 2757860748.09
"967" "BIL_karlaNavarro_damage_english_1202" "karlaNav" "damage" "bilingual" "English" "d" "stressed" 18.81 517.12 1001.52 6.95 58.25 6977963245.38
"968" "BIL_karlaNavarro_damage_english_1240" "karlaNav" "damage" "bilingual" "English" "d" "stressed" -71.51 1015.74 1521.02 2.46 6.59 8652212397.21
"969" "BIL_karlaNavarro_damnation_english_1034" "karlaNav" "damnation" "bilingual" "English" "d" "unstressed" -121.03 473.01 559.79 7.07 86.33 1240546594.01
"970" "BIL_karlaNavarro_damnation_english_1190" "karlaNav" "damnation" "bilingual" "English" "d" "unstressed" 20.04 1045.47 1421.72 2.55 12.81 7330751688.26
"971" "BIL_karlaNavarro_damnaton_english_1014" "karlaNav" "damnation" "bilingual" "English" "d" "unstressed" 14.21 433.09 523.96 9.83 176.01 1413499180.21
"972" "BIL_karlaNavarro_damper_english_1150" "karlaNav" "damper" "bilingual" "English" "d" "stressed" 17.73 1110.84 2175.76 2.72 6.91 28066458014
"973" "BIL_karlaNavarro_damper_english_1164" "karlaNav" "damper" "bilingual" "English" "d" "stressed" 14.75 795.13 1498.9 3.47 13.5 11688995301.59
"974" "BIL_karlaNavarro_damper_english_1244" "karlaNav" "damper" "bilingual" "English" "d" "stressed" 16.99 5919.24 2754.16 -0.79 0.03 -16467329766.02
"975" "BIL_karlaNavarro_danar_spanish_1032" "karlaNav" "danar" "bilingual" "Spanish" "d" "unstressed" -78.17 502.76 278.71 7.86 221.95 170171862.15
"976" "BIL_karlaNavarro_danar_spanish_1060" "karlaNav" "danar" "bilingual" "Spanish" "d" "unstressed" -122.36 611.08 479.68 7.73 111.92 853119534.04
"977" "BIL_karlaNavarro_danar_spanish_1064" "karlaNav" "danar" "bilingual" "Spanish" "d" "unstressed" -171.6 485.27 677.27 10.07 145.41 3126773015.38
"978" "BIL_karlaNavarro_dancette_english_1004" "karlaNav" "dancette" "bilingual" "English" "d" "unstressed" 32.4 3750.89 2859.98 0.51 -0.84 11862209669.58
"979" "BIL_karlaNavarro_dancette_english_1120" "karlaNav" "dancette" "bilingual" "English" "d" "unstressed" 20.96 2113.05 2569.25 1.23 0.78 20873656293.05
"980" "BIL_karlaNavarro_dancette_english_1270" "karlaNav" "dancette" "bilingual" "English" "d" "unstressed" 18.28 1096.01 1627.9 2.57 8.47 11081399385.91
"981" "BIL_karlaNavarro_dancing_english_1114" "karlaNav" "dancing" "bilingual" "English" "d" "stressed" 21.19 4324.25 2925.36 0.3 -0.82 7510825679.82
"982" "BIL_karlaNavarro_dancing_english_1218" "karlaNav" "dancing" "bilingual" "English" "d" "stressed" 13.08 502.84 829.95 6.47 48.7 3697951505.52
"983" "BIL_karlaNavarro_dancing_english_1260" "karlaNav" "dancing" "bilingual" "English" "d" "stressed" 16.77 1089.09 1679.24 2.56 8.14 12130253507.01
"984" "BIL_karlaNavarro_danesa_spanish_1122" "karlaNav" "danesa" "bilingual" "Spanish" "d" "unstressed" -142.96 648.78 462.52 3.68 32.35 363787904.4
"985" "BIL_karlaNavarro_danesa_spanish_1148" "karlaNav" "danesa" "bilingual" "Spanish" "d" "unstressed" -112.72 684.9 463.38 3.73 35.07 371543096.09
"986" "BIL_karlaNavarro_danesa_spanish_1170" "karlaNav" "danesa" "bilingual" "Spanish" "d" "unstressed" -172.29 738.01 443 4.63 51.45 402147435.3
"987" "BIL_karlaNavarro_danielle_english_1036" "karlaNav" "danielle" "bilingual" "English" "d" "unstressed" -83.58 4157.07 2339.94 0.3 0.72 3788144101.04
"988" "BIL_karlaNavarro_danielle_english_1070" "karlaNav" "danielle" "bilingual" "English" "d" "unstressed" -132.25 651.01 1295.61 4.86 33.04 10569173219.4
"989" "BIL_karlaNavarro_danielle_english_1080" "karlaNav" "danielle" "bilingual" "English" "d" "unstressed" 25.56 813.94 1164.55 5.45 42.62 8610681115.89
"990" "BIL_karlaNavarro_danino_spanish_1068" "karlaNav" "danino" "bilingual" "Spanish" "d" "unstressed" 13.98 383.38 342.91 20.57 674.87 829533924.26
"991" "BIL_karlaNavarro_danino_spanish_1186" "karlaNav" "danino" "bilingual" "Spanish" "d" "unstressed" 14.77 367.59 463.04 15.57 313.86 1546017877.17
"992" "BIL_karlaNavarro_dano_spanish_1084" "karlaNav" "dano" "bilingual" "Spanish" "d" "stressed" -128.06 451.17 297.98 9.39 316.83 248405430.45
"993" "BIL_karlaNavarro_dano_spanish_1138" "karlaNav" "dano" "bilingual" "Spanish" "d" "stressed" -157.77 617.91 460.74 6.25 85.59 611363051.83
"994" "BIL_karlaNavarro_dano_spanish_1162" "karlaNav" "dano" "bilingual" "Spanish" "d" "stressed" -114.59 787.82 508.79 3.35 25.38 440906934.72
"995" "BIL_karlaNavarro_danza_spanish_1066" "karlaNav" "danza" "bilingual" "Spanish" "d" "stressed" -107.56 625.52 449.33 7.39 106.3 670828774.34
"996" "BIL_karlaNavarro_danza_spanish_1208" "karlaNav" "danza" "bilingual" "Spanish" "d" "stressed" -133.43 614.03 364.61 5.28 82.27 255961259.83
"997" "BIL_karlaNavarro_danza_spanish_1262" "karlaNav" "danza" "bilingual" "Spanish" "d" "stressed" -95.07 675.02 500.07 3.91 37.16 488949132.52
"998" "BIL_karlaNavarro_danzar_spanish_1022" "karlaNav" "danzar" "bilingual" "Spanish" "d" "unstressed" -64.64 624.83 403.99 5.4 91.35 355779309.75
"999" "BIL_karlaNavarro_danzar_spanish_1030" "karlaNav" "danzar" "bilingual" "Spanish" "d" "unstressed" -186.33 1076.31 1797.68 3.26 12.74 18967083158.11
"1000" "BIL_karlaNavarro_danzar_spanish_1104" "karlaNav" "danzar" "bilingual" "Spanish" "d" "unstressed" -84.03 607.79 375.39 4.98 90.78 263434439.8
"1001" "BIL_karlaNavarro_dazzle_english_1158" "karlaNav" "dazzle" "bilingual" "English" "d" "stressed" -124.64 589.65 900.8 4.92 32.76 3593242944.93
"1002" "BIL_karlaNavarro_dazzle_english_1168" "karlaNav" "dazzle" "bilingual" "English" "d" "stressed" 18.82 894.64 1412.33 2.87 11.12 8091359544.4
"1003" "BIL_karlaNavarro_dazzle_english_1224" "karlaNav" "dazzle" "bilingual" "English" "d" "stressed" -116.34 545.41 562.49 5.71 51.95 1016712454.87
"1004" "BIL_karlaNavarro_tabaco_spanish_1008" "karlaNav" "tabaco" "bilingual" "Spanish" "t" "unstressed" 6.43 569.3 930.82 7.16 63.15 5774743344.8
"1005" "BIL_karlaNavarro_tabaco_spanish_1048" "karlaNav" "tabaco" "bilingual" "Spanish" "t" "unstressed" 9.32 1213.29 951.1 4.37 44.49 3756159133.99
"1006" "BIL_karlaNavarro_tabaco_spanish_1116" "karlaNav" "tabaco" "bilingual" "Spanish" "t" "unstressed" 5.91 735.87 934.11 4.47 30.26 3646193186.44
"1007" "BIL_karlaNavarro_taberna_spanish_1108" "karlaNav" "taberna" "bilingual" "Spanish" "t" "unstressed" 0 2368.84 3808.33 1.75 2.93 96803248479.45
"1008" "BIL_karlaNavarro_taberna_spanish_1132" "karlaNav" "taberna" "bilingual" "Spanish" "t" "unstressed" 8.61 525.54 320.99 10.96 294.35 362398285.71
"1009" "BIL_karlaNavarro_tabla_spanish_1006" "karlaNav" "tabla" "bilingual" "Spanish" "t" "stressed" 11 588.38 443.92 8.12 145.21 710680784.5
"1010" "BIL_karlaNavarro_tabla_spanish_1058" "karlaNav" "tabla" "bilingual" "Spanish" "t" "stressed" 9.27 649.5 385.15 5.51 94.41 315015461.82
"1011" "BIL_karlaNavarro_tabla_spanish_1136" "karlaNav" "tabla" "bilingual" "Spanish" "t" "stressed" 8.04 588.71 281.25 6.32 162.49 140496776.85
"1012" "BIL_karlaNavarro_tabloid_english_1044" "karlaNav" "tabloid" "bilingual" "English" "t" "stressed" 62.82 3223.83 2570.25 0.58 0.41 9910051812.02
"1013" "BIL_karlaNavarro_tabloid_english_1134" "karlaNav" "tabloid" "bilingual" "English" "t" "stressed" 37.37 2561.16 2647.07 0.98 0.18 18156533263.33
"1014" "BIL_karlaNavarro_tabloid_english_1200" "karlaNav" "tabloid" "bilingual" "English" "t" "stressed" 65.97 3657.21 2031.59 0.11 0.49 921173475.42
"1015" "BIL_karlaNavarro_taboo_english_1016" "karlaNav" "taboo" "bilingual" "English" "t" "unstressed" 56.33 5358.16 2168.65 0.12 1.91 1242747909.84
"1016" "BIL_karlaNavarro_taboo_english_1174" "karlaNav" "taboo" "bilingual" "English" "t" "unstressed" 76.24 5683.17 2081.09 -0.05 0.77 -441781813.5
"1017" "BIL_karlaNavarro_taboo_english_1264" "karlaNav" "taboo" "bilingual" "English" "t" "unstressed" 55.17 5250.7 2534.78 -0.07 0.22 -1138383826.66
"1018" "BIL_karlaNavarro_tackle_english_1012" "karlaNav" "tackle" "bilingual" "English" "t" "stressed" 48.65 6743.27 2494.18 -0.75 1.02 -11707921476.94
"1019" "BIL_karlaNavarro_tackle_english_1258" "karlaNav" "tackle" "bilingual" "English" "t" "stressed" 48.77 3167.19 2731.89 0.49 -0.59 9959501904.78
"1020" "BIL_karlaNavarro_tackle_english_1276" "karlaNav" "tackle" "bilingual" "English" "t" "stressed" 53.11 3992.78 2248.13 0.12 0.27 1414527996.09
"1021" "BIL_karlaNavarro_tactics_english_1052" "karlaNav" "tactics" "bilingual" "English" "t" "stressed" 0 2312.38 4027.67 2.3 5.9 150553605961.01
"1022" "BIL_karlaNavarro_tactics_english_1192" "karlaNav" "tactics" "bilingual" "English" "t" "stressed" 61.57 5330.51 1773.17 0.71 2.76 3943361867.86
"1023" "BIL_karlaNavarro_tactics_english_1246" "karlaNav" "tactics" "bilingual" "English" "t" "stressed" 33.23 2643.73 2092.23 0.74 1.1 6793025331.62
"1024" "BIL_karlaNavarro_tactil_spanish_1082" "karlaNav" "tactil" "bilingual" "Spanish" "t" "stressed" 14.43 534.2 876.54 7.64 82.85 5146135217.57
"1025" "BIL_karlaNavarro_tactil_spanish_1210" "karlaNav" "tactil" "bilingual" "Spanish" "t" "stressed" 12.58 631.1 696.35 8.1 94.73 2733577844.36
"1026" "BIL_karlaNavarro_tactil_spanish_1212" "karlaNav" "tactil" "bilingual" "Spanish" "t" "stressed" 5.95 728.28 434.7 8.6 170.73 706388305.92
"1027" "BIL_karlaNavarro_tamano_spanish_1078" "karlaNav" "tamano" "bilingual" "Spanish" "t" "unstressed" 12.85 464.61 543.31 12.49 256.14 2003566483.66
"1028" "BIL_karlaNavarro_tamano_spanish_1204" "karlaNav" "tamano" "bilingual" "Spanish" "t" "unstressed" 7.75 603.45 373.99 8.72 181.18 456069882.98
