"token" "subject" "word" "group" "language" "cons" "stress" "vot" "cog" "sd" "skew" "kurt" "cm"
"37" "BIL_alondraHinojosa_dancette_english_1224" "alondraH" "dancette" "bilingual" "English" "d" "unstressed" 21.44 2192.42 2723.44 1.58 1.97 31960754731.43
"38" "BIL_alondraHinojosa_dancing_english_1084" "alondraH" "dancing" "bilingual" "English" "d" "stressed" 16.16 2346.25 3052.98 1.48 1.22 42140310474.64
"39" "BIL_alondraHinojosa_dancing_english_1100" "alondraH" "dancing" "bilingual" "English" "d" "stressed" 22.61 3392.92 2863.35 0.63 -0.28 14836724192.61
"40" "BIL_alondraHinojosa_dancing_english_1282" "alondraH" "dancing" "bilingual" "English" "d" "stressed" 22.17 3147.02 3028.9 0.91 -0.14 25157557681.93
"41" "BIL_alondraHinojosa_danesa_spanish_1164" "alondraH" "danesa" "bilingual" "Spanish" "d" "unstressed" 21.56 722.97 943.73 6.82 65.81 5736047114.86
"42" "BIL_alondraHinojosa_danesa_spanish_1258" "alondraH" "danesa" "bilingual" "Spanish" "d" "unstressed" 27.08 2509.8 2229 2.11 5.54 23335409323.82
"43" "BIL_alondraHinojosa_danielle_english_1096" "alondraH" "danielle" "bilingual" "English" "d" "unstressed" 23.52 1865.4 2483.11 2.06 4.03 31562444188.87
"44" "BIL_alondraHinojosa_danielle_english_1102" "alondraH" "danielle" "bilingual" "English" "d" "unstressed" 20.09 2486.92 2929.25 1.82 2.89 45621725202.15
"45" "BIL_alondraHinojosa_danielle_english_1250" "alondraH" "danielle" "bilingual" "English" "d" "unstressed" 24.54 4998.02 3848.05 0.04 -1.54 2500048348.26
"46" "BIL_alondraHinojosa_danino_spanish_1064" "alondraH" "danino" "bilingual" "Spanish" "d" "unstressed" 12.1 382.37 341.92 16.76 412.14 669813551.64
"47" "BIL_alondraHinojosa_danino_spanish_1068" "alondraH" "danino" "bilingual" "Spanish" "d" "unstressed" 16.01 461.52 565.95 10.03 145.11 1819033428.7
"48" "BIL_alondraHinojosa_danino_spanish_1220" "alondraH" "danino" "bilingual" "Spanish" "d" "unstressed" 17.01 463.62 660.85 8.42 107.75 2430188778.14
"49" "BIL_alondraHinojosa_dano_spanish_1158" "alondraH" "dano" "bilingual" "Spanish" "d" "stressed" 21.87 1408.66 1745.8 3.2 12.76 17031467356.61
"50" "BIL_alondraHinojosa_dano_spanish_1192" "alondraH" "dano" "bilingual" "Spanish" "d" "stressed" -93.98 525.88 534.5 9.11 124.12 1390752077.59
"51" "BIL_alondraHinojosa_dano_spanish_1278" "alondraH" "dano" "bilingual" "Spanish" "d" "stressed" -75.8 433.17 462.19 12.39 209.31 1223391893.12
"52" "BIL_alondraHinojosa_danza_spanish_1060" "alondraH" "danza" "bilingual" "Spanish" "d" "stressed" 12.17 520.33 368.04 6.78 103.36 338111473.07
"53" "BIL_alondraHinojosa_danza_spanish_1098" "alondraH" "danza" "bilingual" "Spanish" "d" "stressed" 17.8 1169.31 1157.14 3.18 16.88 4924667750.38
"54" "BIL_alondraHinojosa_danza_spanish_1116" "alondraH" "danza" "bilingual" "Spanish" "d" "stressed" 12.45 506.52 518.39 8.84 127.48 1231512038.75
"55" "BIL_alondraHinojosa_danzar_spanish_1022" "alondraH" "danzar" "bilingual" "Spanish" "d" "unstressed" 12.29 433.82 302.11 12.74 347.03 351212876.46
"56" "BIL_alondraHinojosa_danzar_spanish_1170" "alondraH" "danzar" "bilingual" "Spanish" "d" "unstressed" 12.25 516.01 415.34 8.2 135.12 587634344.13
"57" "BIL_alondraHinojosa_danzar_spanish_1234" "alondraH" "danzar" "bilingual" "Spanish" "d" "unstressed" 17.65 526.01 605.15 8.21 109.97 1819126127.63
"58" "BIL_alondraHinojosa_dazzle_english_1042" "alondraH" "dazzle" "bilingual" "English" "d" "stressed" 23.69 5139 3368.12 0.07 -0.65 2841261773.41
"59" "BIL_alondraHinojosa_dazzle_english_1184" "alondraH" "dazzle" "bilingual" "English" "d" "stressed" 17.2 3413.48 2795.53 0.59 -0.34 12989202702.69
"60" "BIL_alondraHinojosa_dazzle_english_1216" "alondraH" "dazzle" "bilingual" "English" "d" "stressed" 20.8 2903.16 3137.01 1.13 0.18 34765361145.12
"61" "BIL_alondraHinojosa_tabaco_spanish_1080" "alondraH" "tabaco" "bilingual" "Spanish" "t" "unstressed" 6.89 574.48 471.7 8.17 116.54 857108516.15
"62" "BIL_alondraHinojosa_tabaco_spanish_1166" "alondraH" "tabaco" "bilingual" "Spanish" "t" "unstressed" 22.47 1215.59 1783.5 3.69 14.54 20940738225.19
"63" "BIL_alondraHinojosa_tabaco_spanish_1284" "alondraH" "tabaco" "bilingual" "Spanish" "t" "unstressed" 14.32 505.8 485.06 10.38 167.81 1185032216.66
"64" "BIL_alondraHinojosa_taberna_spanish_1006" "alondraH" "taberna" "bilingual" "Spanish" "t" "unstressed" 8.92 503.09 429.75 8.14 134.44 645858199.08
"65" "BIL_alondraHinojosa_taberna_spanish_1268" "alondraH" "taberna" "bilingual" "Spanish" "t" "unstressed" 7.31 523.32 390.27 7.36 119.68 437663458.33
"66" "BIL_alondraHinojosa_taberna_spanish_1286" "alondraH" "taberna" "bilingual" "Spanish" "t" "unstressed" 12.36 487.95 546.86 8.35 110.26 1365798844.09
"67" "BIL_alondraHinojosa_tabla_spanish_1050" "alondraH" "tabla" "bilingual" "Spanish" "t" "stressed" 7.53 613.08 521.99 7.43 99.39 1056854830.82
"68" "BIL_alondraHinojosa_tabla_spanish_1118" "alondraH" "tabla" "bilingual" "Spanish" "t" "stressed" 7.69 527.43 451.33 6.27 86.59 576006294.05
"69" "BIL_alondraHinojosa_tabla_spanish_1244" "alondraH" "tabla" "bilingual" "Spanish" "t" "stressed" 11.2 451.02 351.25 13.62 316.47 590035352.9
"70" "BIL_alondraHinojosa_tabloid_english_1004" "alondraH" "tabloid" "bilingual" "English" "t" "stressed" 80.99 4844.79 3753.58 0.13 -1.26 7017313913.52
"71" "BIL_alondraHinojosa_tabloid_english_1092" "alondraH" "tabloid" "bilingual" "English" "t" "stressed" 54.16 7199.29 3009.55 -0.7 0.38 -19105453045.01
"72" "BIL_alondraHinojosa_tabloid_english_1126" "alondraH" "tabloid" "bilingual" "English" "t" "stressed" 44.91 2572.19 3270.64 1.29 0.26 45042220788.47
"73" "BIL_alondraHinojosa_taboo_english_1054" "alondraH" "taboo" "bilingual" "English" "t" "unstressed" 40.31 4149.87 3627.59 0.57 -0.71 27201249067.72
"74" "BIL_alondraHinojosa_taboo_english_1262" "alondraH" "taboo" "bilingual" "English" "t" "unstressed" 45.65 5770.38 3139.84 -0.06 -0.4 -2009195347.19
"75" "BIL_alondraHinojosa_taboo_spanish_1204" "alondraH" "taboo" "bilingual" "Spanish" "t" "unstressed" 53.41 5370.41 3401.85 -0.01 -0.87 -378397861.29
"76" "BIL_alondraHinojosa_tackle_english_1016" "alondraH" "tackle" "bilingual" "English" "t" "stressed" 62.18 8494.7 2621.93 -0.37 0.54 -6713868112.51
"77" "BIL_alondraHinojosa_tackle_english_1136" "alondraH" "tackle" "bilingual" "English" "t" "stressed" 58.9 6233.41 3364.24 -0.74 -0.75 -27989152437.68
"78" "BIL_alondraHinojosa_tackle_english_1150" "alondraH" "tackle" "bilingual" "English" "t" "stressed" 46.46 6124.24 3751.78 -0.32 -0.9 -16924933926.79
"79" "BIL_alondraHinojosa_tactics_english_1002" "alondraH" "tactics" "bilingual" "English" "t" "stressed" 42.34 5761.72 3370.29 0.14 -0.62 5218358167.5
"80" "BIL_alondraHinojosa_tactics_english_1046" "alondraH" "tactics" "bilingual" "English" "t" "stressed" 51.64 3973.59 3460.04 0.45 -0.9 18794558493.46
"81" "BIL_alondraHinojosa_tactics_english_1072" "alondraH" "tactics" "bilingual" "English" "t" "stressed" 48.59 5310.84 3773.93 0.13 -0.97 6756501843.24
"82" "BIL_alondraHinojosa_tactil_spanish_1180" "alondraH" "tactil" "bilingual" "Spanish" "t" "stressed" 12.13 495.36 511.18 8.16 113.06 1089736742.42
"83" "BIL_alondraHinojosa_tactil_spanish_1182" "alondraH" "tactil" "bilingual" "Spanish" "t" "stressed" 17.77 1218.88 1791.08 3.33 13.11 19151063504.11
"84" "BIL_alondraHinojosa_tactil_spanish_1240" "alondraH" "tactil" "bilingual" "Spanish" "t" "stressed" 11.92 555.6 529.79 7.44 102.23 1107081259.4
"85" "BIL_alondraHinojosa_tamano_spanish_1124" "alondraH" "tamano" "bilingual" "Spanish" "t" "unstressed" 15.37 726.94 1137.62 4.79 31.43 7057221729.22
"86" "BIL_alondraHinojosa_tamano_spanish_1174" "alondraH" "tamano" "bilingual" "Spanish" "t" "unstressed" 13.03 456.06 691.09 7.66 88.72 2528555451.38
"87" "BIL_alondraHinojosa_tamano_spanish_1194" "alondraH" "tamano" "bilingual" "Spanish" "t" "unstressed" 9.63 461.22 543.53 9.02 120.56 1448547364.11
"88" "BIL_alondraHinojosa_tambien_spanish_1032" "alondraH" "tambien" "bilingual" "Spanish" "t" "unstressed" 12.24 431.15 426.03 7.84 122.45 605861168.75
"89" "BIL_alondraHinojosa_tambien_spanish_1146" "alondraH" "tambien" "bilingual" "Spanish" "t" "unstressed" 13.48 485.08 621.09 8.52 104.09 2040337107.76
"90" "BIL_alondraHinojosa_tambien_spanish_1178" "alondraH" "tambien" "bilingual" "Spanish" "t" "unstressed" 12.61 464.7 529.43 9.53 134.64 1413912878.24
"91" "BIL_alondraHinojosa_tambourine_english_1014" "alondraH" "tambourine" "bilingual" "English" "t" "unstressed" 58.66 7224.14 2401.95 -0.94 1.75 -13077593751.13
"92" "BIL_alondraHinojosa_tambourine_english_1132" "alondraH" "tambourine" "bilingual" "English" "t" "unstressed" 34.79 7072.44 2064.93 -1.53 3 -13493724330.55
"93" "BIL_alondraHinojosa_tambourine_english_1208" "alondraH" "tambourine" "bilingual" "English" "t" "unstressed" 43.1 5829.44 3324.83 -0.25 -0.73 -9292392227.54
"94" "BIL_alondraHinojosa_tampoco_spanish_1034" "alondraH" "tampoco" "bilingual" "Spanish" "t" "unstressed" 13.16 596.01 952.01 6.16 47.19 5312331679.95
"95" "BIL_alondraHinojosa_tampoco_spanish_1138" "alondraH" "tampoco" "bilingual" "Spanish" "t" "unstressed" 13.96 770.6 993.47 3.94 26.7 3866648695.07
"96" "BIL_alondraHinojosa_tampoco_spanish_1196" "alondraH" "tampoco" "bilingual" "Spanish" "t" "unstressed" 13.5 587.65 860.9 5.72 48.14 3651385568.08
"97" "BIL_alondraHinojosa_tanker_english_1052" "alondraH" "tanker" "bilingual" "English" "t" "stressed" 53.65 6355.02 3098.83 -0.31 -0.43 -9126513468.66
"98" "BIL_alondraHinojosa_tanker_english_1070" "alondraH" "tanker" "bilingual" "English" "t" "stressed" 57.7 5812.78 3240.41 -0.01 -0.63 -398864591.91
"99" "BIL_alondraHinojosa_tanker_english_1248" "alondraH" "tanker" "bilingual" "English" "t" "stressed" 57.09 5162.59 3763.05 0.25 -1.03 13065397273.76
"100" "BIL_alondraHinojosa_tanque_spanish_1122" "alondraH" "tanque" "bilingual" "Spanish" "t" "stressed" 11.37 447.18 451.92 9.88 162.33 912120676.57
"101" "BIL_alondraHinojosa_tanque_spanish_1130" "alondraH" "tanque" "bilingual" "Spanish" "t" "stressed" 10.09 502.45 381.38 11.38 231.28 631066911.55
"102" "BIL_alondraHinojosa_tanque_spanish_1210" "alondraH" "tanque" "bilingual" "Spanish" "t" "stressed" 9.55 487.17 461.21 8.42 136.02 826215245.88
"103" "BIL_alondraHinojosa_tanto_spanish_1024" "alondraH" "tanto" "bilingual" "Spanish" "t" "stressed" 10.61 513.81 434.15 5.67 67.66 464205075.28
"104" "BIL_alondraHinojosa_tanto_spanish_1134" "alondraH" "tanto" "bilingual" "Spanish" "t" "stressed" 12.88 515.53 512.97 7.84 105.22 1057694470.26
"105" "BIL_alondraHinojosa_tanto_spanish_1246" "alondraH" "tanto" "bilingual" "Spanish" "t" "stressed" 13.37 532.57 624.75 8.14 103.66 1983815946.73
"106" "BIL_alondraHinojosa_tantrum_english_1048" "alondraH" "tantrum" "bilingual" "English" "t" "stressed" 43.25 4296.45 3222.18 0.48 -0.8 16219174083.42
"107" "BIL_alondraHinojosa_tantrum_english_1112" "alondraH" "tantrum" "bilingual" "English" "t" "stressed" 53.75 2552.88 3156.77 1.38 0.87 43452873700.68
"108" "BIL_alondraHinojosa_tantrum_english_1172" "alondraH" "tantrum" "bilingual" "English" "t" "stressed" 43.99 2626.59 2898.34 1.51 1.59 36853384520.2
"109" "BIL_alondraHinojosa_tapioca_english_1110" "alondraH" "tapioca" "bilingual" "English" "t" "unstressed" 46.04 6372.56 3560.1 -0.38 -0.85 -17343344094.91
"110" "BIL_alondraHinojosa_tapioca_english_1188" "alondraH" "tapioca" "bilingual" "English" "t" "unstressed" 11.57 391.5 479.74 10.86 178.98 1198770651.4
"111" "BIL_alondraHinojosa_tapioca_english_1218" "alondraH" "tapioca" "bilingual" "English" "t" "unstressed" 51.67 6923.47 3217.39 -0.67 -0.33 -22344067983.48
"112" "BIL_alondraHinojosa_tattoo_english_1012" "alondraH" "tattoo" "bilingual" "English" "t" "unstressed" 34.37 4620.95 3159.22 0.56 -0.3 17604705932.97
"113" "BIL_alondraHinojosa_tattoo_english_1062" "alondraH" "tattoo" "bilingual" "English" "t" "unstressed" 38.13 3256.78 3735.98 0.93 -0.61 48340904132.51
"114" "BIL_alondraHinojosa_tattoo_english_1114" "alondraH" "tattoo" "bilingual" "English" "t" "unstressed" 56.17 8312.62 2039 -1.27 3.21 -10765495618.05
"115" "BIL_alondraHinojosa_tattooing_english_1212" "alondraH" "tattooing" "bilingual" "English" "t" "unstressed" 44.04 2719 3580.87 1.61 2.26 73942336319.52
"116" "BIL_alondraHinojosa_tattooing_english_1230" "alondraH" "tattooing" "bilingual" "English" "t" "unstressed" 42.9 2234.31 2882.32 1.82 2.57 43676642260.27
"117" "BIL_alondraHinojosa_tattooing_english_1274" "alondraH" "tattooing" "bilingual" "English" "t" "unstressed" 48.33 4560.25 3447.33 0.31 -0.94 12520634455.39
"118" "BIL_alondraHinojosa_taza_spanish_1198" "alondraH" "taza" "bilingual" "Spanish" "t" "stressed" 6.11 517.88 348.97 8.26 152.05 350951380.35
"119" "BIL_alondraHinojosa_taza_spanish_1206" "alondraH" "taza" "bilingual" "Spanish" "t" "stressed" 11.78 464.46 384.2 11 227.66 623638929.64
"120" "BIL_alondraHinojosa_taza_spanish_1260" "alondraH" "taza" "bilingual" "Spanish" "t" "stressed" 10.25 479.99 376.41 10.78 214.24 575061690.41
"121" "BIL_ambarLuna_daba_spanish_1126" "ambarLun" "daba" "bilingual" "Spanish" "d" "stressed" -70.74 942.23 917.92 3.78 22.17 2924721259.17
"122" "BIL_ambarLuna_daba_spanish_1132" "ambarLun" "daba" "bilingual" "Spanish" "d" "stressed" -55.51 780.88 627.72 4.22 30.47 1044546722.34
"123" "BIL_ambarLuna_daba_spanish_1280" "ambarLun" "daba" "bilingual" "Spanish" "d" "stressed" -68.5 857.34 712.11 4.19 25.88 1513306636.36
"124" "BIL_ambarLuna_daga_spanish_1138" "ambarLun" "daga" "bilingual" "Spanish" "d" "stressed" 22.01 4159.71 4020.21 0.34 -1.6 22224726321.04
"125" "BIL_ambarLuna_daga_spanish_1240" "ambarLun" "daga" "bilingual" "Spanish" "d" "stressed" -39.96 720.86 753.94 5.08 40.83 2178725293.63
"126" "BIL_ambarLuna_daga_spanish_1270" "ambarLun" "daga" "bilingual" "Spanish" "d" "stressed" -55.84 1112.98 847.12 2.44 9.07 1481515515.47
"127" "BIL_ambarLuna_dagger_english_1056" "ambarLun" "dagger" "bilingual" "English" "d" "stressed" 20.49 4147.66 1993.18 0.07 0.67 529511813.18
"128" "BIL_ambarLuna_dagger_english_1210" "ambarLun" "dagger" "bilingual" "English" "d" "stressed" 20.97 3470.11 2309.75 0.003 -0.76 38131193.78
"129" "BIL_ambarLuna_dagger_english_1274" "ambarLun" "dagger" "bilingual" "English" "d" "stressed" 21.67 4383.64 2326.01 0.37 -0.33 4700482146.17
"130" "BIL_ambarLuna_dakota_english_1026" "ambarLun" "dakota" "bilingual" "English" "d" "unstressed" 20.21 3682.1 2065.17 -0.36 0.29 -3154214389.29
"131" "BIL_ambarLuna_dakota_english_1250" "ambarLun" "dakota" "bilingual" "English" "d" "unstressed" 15.54 1757.41 1828.24 1.16 1.23 7092793802.28
"132" "BIL_ambarLuna_dakota_english_1264" "ambarLun" "dakota" "bilingual" "English" "d" "unstressed" 19.73 2371.28 1999.26 0.65 0.37 5183000709.19
"133" "BIL_ambarLuna_daltonian_english_1014" "ambarLun" "daltonian" "bilingual" "English" "d" "unstressed" 23.7 3501.62 1707.65 -0.01 2.49 -51338304.5
"134" "BIL_ambarLuna_daltonian_english_1046" "ambarLun" "daltonian" "bilingual" "English" "d" "unstressed" 18.97 3472.79 1585.36 -0.51 1.69 -2047317878.65
"135" "BIL_ambarLuna_daltonian_english_1050" "ambarLun" "daltonian" "bilingual" "English" "d" "unstressed" 19.22 2432.88 1441.29 0.59 3.92 1757117570.27
"136" "BIL_ambarLuna_daltonico_spanish_1006" "ambarLun" "daltonico" "bilingual" "Spanish" "d" "unstressed" -38.49 791.92 579.79 3.29 28.23 641122386.74
"137" "BIL_ambarLuna_daltonico_spanish_1070" "ambarLun" "daltonico" "bilingual" "Spanish" "d" "unstressed" -35.24 957.58 750.86 2.68 18.49 1132548633.35
"138" "BIL_ambarLuna_daltonico_spanish_1232" "ambarLun" "daltonico" "bilingual" "Spanish" "d" "unstressed" -67.53 1036.36 1266.72 3.92 21.5 7959436425.53
