subject	stimulus	response	reactionTime
dt_AXB_discrimination_masterFile	tsb1,tsa1,dea1	3	1.682939052581787
dt_AXB_discrimination_masterFile	tsb1,tsc1,dec1	3	3.691257953643799
dt_AXB_discrimination_masterFile	dsc1,dsa1,deb1	3	2.554827928543091
dt_AXB_discrimination_masterFile	dsc1,dsb1,dec1	3	4.4669189453125
dt_AXB_discrimination_masterFile	dsb1,dsc1,dec1	3	2.683081865310669
dt_AXB_discrimination_masterFile	teb1,tea1,tsa1	3	1.7708189487457275
dt_AXB_discrimination_masterFile	dea1,deb1,dsa1	1	2.0913710594177246
dt_AXB_discrimination_masterFile	tec1,dsb1,dsc1	1	2.2509138584136963
dt_AXB_discrimination_masterFile	tec2,teb2,tsc2	3	1.739349126815796
dt_AXB_discrimination_masterFile	teb1,tec1,tsc1	3	1.7787868976593018
dt_AXB_discrimination_masterFile	tea2,tsa2,tsb2	1	2.7711288928985596
dt_AXB_discrimination_masterFile	dsc1,dsb1,tec1	3	3.3546810150146484
dt_AXB_discrimination_masterFile	dsb1,dsa1,tea1	3	2.3949530124664307
dt_AXB_discrimination_masterFile	dsc2,teb2,tec2	1	3.418570041656494
dt_AXB_discrimination_masterFile	tsb1,tsa1,tea1	1	2.500014066696167
dt_AXB_discrimination_masterFile	deb2,dsa2,dsc2	1	1.922813892364502
dt_AXB_discrimination_masterFile	tsb1,tsc1,tec1	3	1.7949461936950684
dt_AXB_discrimination_masterFile	tec1,tsc1,tsb1	1	5.787113904953003
dt_AXB_discrimination_masterFile	tsb2,tsc2,dec2	1	3.57902193069458
dt_AXB_discrimination_masterFile	tsa2,tsc2,deb2	1	3.9550070762634277
dt_AXB_discrimination_masterFile	dsb1,dea1,dec1	1	5.211178779602051
dt_AXB_discrimination_masterFile	tsa1,deb1,dea1	3	4.690838098526001
dt_AXB_discrimination_masterFile	dec2,dea2,dsb2	3	4.346897125244141
dt_AXB_discrimination_masterFile	tsa1,tsb1,dea1	1	2.7874250411987305
dt_AXB_discrimination_masterFile	tsc1,tec1,teb1	1	3.8272249698638916
dt_AXB_discrimination_masterFile	dsa1,dea1,deb1	1	2.706800937652588
dt_AXB_discrimination_masterFile	tsc1,deb1,dec1	1	3.0110080242156982
dt_AXB_discrimination_masterFile	dec1,dea1,tsb1	1	1.9632360935211182
dt_AXB_discrimination_masterFile	tea2,tec2,dsb2	3	2.6027719974517822
dt_AXB_discrimination_masterFile	tea2,tec2,tsb2	3	3.379178047180176
dt_AXB_discrimination_masterFile	tea2,dsb2,dsa2	1	3.378988027572632
dt_AXB_discrimination_masterFile	tsb1,dea1,dec1	1	2.4987480640411377
dt_AXB_discrimination_masterFile	deb1,dea1,dsa1	3	3.78706693649292
dt_AXB_discrimination_masterFile	dsa1,teb1,tea1	1	2.0509448051452637
dt_AXB_discrimination_masterFile	tec2,dsb2,dsc2	1	2.082854986190796
dt_AXB_discrimination_masterFile	tec2,dsc2,dsb2	1	1.8429388999938965
dt_AXB_discrimination_masterFile	tec2,tsb2,tsc2	1	1.986983060836792
dt_AXB_discrimination_masterFile	dsb2,dsa2,dea2	3	2.986948013305664
dt_AXB_discrimination_masterFile	deb2,tsc2,tsa2	3	1.6510047912597656
dt_AXB_discrimination_masterFile	tsa1,tsc1,deb1	3	1.8834569454193115
dt_AXB_discrimination_masterFile	dea1,dsb1,dsa1	1	2.091136932373047
dt_AXB_discrimination_masterFile	tsb2,tea2,tec2	1	2.290764093399048
dt_AXB_discrimination_masterFile	tea2,teb2,tsa2	3	2.8511319160461426
dt_AXB_discrimination_masterFile	teb2,tsc2,tsa2	3	2.210974931716919
